time, Quad1.PosFollowErr, Quad2.PosFollowErr
0.005000,1.117042,1.110218
0.010000,1.115927,1.102219
0.015000,1.114017,1.089863
0.020000,1.112583,1.081392
0.025000,1.110252,1.068634
0.030000,1.108540,1.060032
0.035000,1.105695,1.046890
0.040000,1.103619,1.037993
0.045000,1.100083,1.024294
0.050000,1.097515,1.015003
0.055000,1.093454,1.000949
0.060000,1.090623,0.991518
0.065000,1.086383,0.977490
0.070000,1.083519,0.968170
0.075000,1.079117,0.954171
0.080000,1.076126,0.944840
0.085000,1.071460,0.930943
0.090000,1.068284,0.921735
0.095000,1.063508,0.907990
0.100000,1.060333,0.898883
0.105000,1.055420,0.885092
0.110000,1.052125,0.875894
0.115000,1.047278,0.862223
0.120000,1.044126,0.853203
0.125000,1.039410,0.840130
0.130000,1.036322,0.831622
0.135000,1.031861,0.819023
0.140000,1.029016,0.810739
0.145000,1.024964,0.798488
0.150000,1.022420,0.790441
0.155000,1.018860,0.778556
0.160000,1.016669,0.770760
0.165000,1.013419,0.759442
0.170000,1.011357,0.752077
0.175000,1.008556,0.741205
0.180000,1.006887,0.734078
0.185000,1.004670,0.723505
0.190000,1.003404,0.716567
0.195000,1.001843,0.706362
0.200000,1.001029,0.699693
0.205000,0.999595,0.689951
0.210000,0.998667,0.683594
0.215000,0.997588,0.674230
0.220000,0.997077,0.668103
0.225000,0.996621,0.659083
0.230000,0.996520,0.653183
0.235000,0.996663,0.644500
0.240000,0.996952,0.638821
0.245000,0.997199,0.630556
0.250000,0.997388,0.625178
0.255000,0.997934,0.617261
0.260000,0.998466,0.612082
0.265000,0.999283,0.604480
0.270000,0.999899,0.599505
0.275000,1.001020,0.592169
0.280000,1.001892,0.587360
0.285000,1.002947,0.580151
0.290000,1.003615,0.575377
0.295000,1.004762,0.568308
0.300000,1.005618,0.563655
0.305000,1.006873,0.556780
0.310000,1.007734,0.552256
0.314999,1.009127,0.545546
0.319999,1.010116,0.541119
0.324999,1.011093,0.534424
0.329999,1.011596,0.529955
0.334999,1.012418,0.523300
0.339999,1.013005,0.518895
0.344999,1.013514,0.512280
0.349999,1.013741,0.507875
0.354999,1.014121,0.501294
0.359999,1.014400,0.496922
0.364999,1.014430,0.490228
0.369999,1.014332,0.485723
0.374999,1.014220,0.478977
0.379999,1.014168,0.474486
0.384999,1.013831,0.467857
0.389999,1.013528,0.463469
0.394998,1.013101,0.456882
0.399998,1.012832,0.452486
0.404998,1.011758,0.445552
0.409998,1.010827,0.440811
0.414998,1.009455,0.433684
0.419998,1.008555,0.428919
0.424998,1.006932,0.421841
0.429998,1.005763,0.417134
0.434998,1.004019,0.410041
0.439998,1.002862,0.405293
0.444998,1.000729,0.398005
0.449998,0.999179,0.393090
0.454998,0.996866,0.385713
0.459998,0.995330,0.380797
0.464998,0.992603,0.373339
0.469997,0.990651,0.368350
0.474997,0.987742,0.360901
0.479997,0.985820,0.355965
0.484997,0.982469,0.348549
0.489997,0.980098,0.343640
0.494997,0.976585,0.336381
0.499997,0.974271,0.331619
0.504997,0.970310,0.324326
0.509997,0.967524,0.319478
0.514997,0.963392,0.312387
0.519997,0.960671,0.307789
0.524997,0.956283,0.301283
0.529997,0.953279,0.297163
0.534997,0.948833,0.291231
0.539997,0.945909,0.287449
0.544997,0.941168,0.281998
0.549996,0.937908,0.278542
0.554996,0.933075,0.273662
0.559996,0.929887,0.270614
0.564996,0.924654,0.266208
0.569996,0.921030,0.263455
0.574996,0.915638,0.259684
0.579996,0.912069,0.257407
0.584996,0.906517,0.254502
0.589996,0.902758,0.252851
0.594996,0.897142,0.250709
0.599996,0.893409,0.249493
0.604996,0.887196,0.247990
0.609996,0.882856,0.247203
0.614996,0.876360,0.246312
0.619996,0.872038,0.245891
0.624996,0.865113,0.245527
0.629995,0.860361,0.245453
0.634995,0.853266,0.245548
0.639995,0.848561,0.245728
0.644995,0.841444,0.246429
0.649995,0.836705,0.247072
0.654995,0.829664,0.248128
0.659995,0.825020,0.248877
0.664995,0.817516,0.249972
0.669995,0.812371,0.250707
0.674995,0.804761,0.251832
0.679995,0.799768,0.252587
0.684995,0.792310,0.254174
0.689995,0.787413,0.255375
0.694995,0.780250,0.257148
0.699995,0.775606,0.258302
0.704994,0.768330,0.259988
0.709994,0.763461,0.261090
0.714994,0.756411,0.262698
0.719994,0.751887,0.263731
0.724994,0.745119,0.265284
0.729994,0.740713,0.266288
0.734994,0.734393,0.267695
0.739994,0.730374,0.268562
0.744994,0.724310,0.269854
0.749994,0.720361,0.270678
0.754994,0.714749,0.271794
0.759994,0.711213,0.272453
0.764994,0.705916,0.273753
0.769994,0.702498,0.274684
0.774994,0.697687,0.275953
0.779994,0.694685,0.276711
0.784993,0.690235,0.277461
0.789993,0.687380,0.277787
0.794993,0.683373,0.278141
0.799993,0.680880,0.278289
0.804993,0.677025,0.278863
0.809993,0.674508,0.279329
0.814993,0.670982,0.279920
0.819993,0.668789,0.280241
0.824993,0.665592,0.280487
0.829993,0.663552,0.280536
0.834993,0.660675,0.280506
0.839993,0.658871,0.280417
0.844993,0.656139,0.280524
0.849993,0.654370,0.280645
0.854993,0.651880,0.280732
0.859993,0.650325,0.280726
0.864992,0.647730,0.280550
0.869992,0.645959,0.280350
0.874992,0.643438,0.279963
0.879992,0.641842,0.279648
0.884992,0.639599,0.279234
