time, Quad.Est.E.Yaw
0.005000,0.001569
0.010000,0.035639
0.015000,0.038902
0.020000,0.000581
0.025000,0.003527
0.030000,0.002141
0.035000,0.000920
0.040000,0.003182
0.045000,0.003822
0.050000,0.006564
0.055000,0.005292
0.060000,-0.012974
0.065000,-0.013248
0.070000,-0.007568
0.075000,-0.007966
0.080000,0.009953
0.085000,0.012560
0.090000,0.029506
0.095000,0.031631
0.100000,0.037266
0.105000,0.035453
0.110000,0.026019
0.115000,0.024528
0.120000,0.017857
0.125000,0.017130
0.130000,0.021620
0.135000,0.022836
0.140000,0.028748
0.145000,0.027532
0.150000,0.028788
0.155000,0.030512
0.160000,0.016074
0.165000,0.015443
0.170000,0.020792
0.175000,0.018261
0.180000,0.028811
0.185000,0.028504
0.190000,0.027078
0.195000,0.023408
0.200000,0.013505
0.205000,0.014353
0.210000,0.003194
0.215000,0.005115
0.220000,-0.002220
0.225000,-0.001368
0.230000,0.005023
0.235000,0.005345
0.240000,-0.006474
0.245000,-0.003463
0.250000,0.000166
0.255000,-0.000470
0.260000,0.015660
0.265000,0.019121
0.270000,0.016801
0.275000,0.015563
0.280000,0.005612
0.285000,0.002618
0.290000,-0.001375
0.295000,-0.003480
0.300000,-0.008329
0.305000,-0.008441
0.310000,-0.018767
0.314999,-0.018562
0.319999,-0.003720
0.324999,-0.002464
0.329999,0.005327
0.334999,0.006018
0.339999,0.009699
0.344999,0.010619
0.349999,0.010559
0.354999,0.012269
0.359999,0.006538
0.364999,0.006624
0.369999,0.001803
0.374999,0.000253
0.379999,0.017102
0.384999,0.021163
0.389999,0.021019
0.394998,0.020539
0.399998,0.025016
0.404998,0.025902
0.409998,0.020924
0.414998,0.022128
0.419998,0.019229
0.424998,0.020542
0.429998,-0.007249
0.434998,-0.003975
0.439998,-0.002427
0.444998,-0.001160
0.449998,-0.013940
0.454998,-0.017730
0.459998,-0.015387
0.464998,-0.014888
0.469997,0.004482
0.474997,0.003329
0.479997,-0.024668
0.484997,-0.025730
0.489997,-0.015564
0.494997,-0.015361
0.499997,-0.025149
0.504997,-0.024701
0.509997,-0.005842
0.514997,-0.006029
0.519997,-0.006121
0.524997,-0.003777
0.529997,-0.006090
0.534997,-0.005852
0.539997,0.000594
0.544997,-0.001072
0.549996,0.013561
0.554996,0.016911
0.559996,0.006239
0.564996,0.004891
0.569996,0.017293
0.574996,0.018512
0.579996,0.015462
0.584996,0.016970
0.589996,0.016923
0.594996,0.016337
0.599996,0.023009
0.604996,0.024903
0.609996,0.024044
0.614996,0.026013
0.619996,0.009628
0.624996,0.010768
0.629995,-0.003313
0.634995,-0.001781
0.639995,0.003518
0.644995,0.003399
0.649995,0.001042
0.654995,0.001126
0.659995,0.001808
0.664995,0.001887
0.669995,0.007077
0.674995,0.005888
0.679995,-0.004099
